Wall time,Step,Value
1756075312.9159648,0,0.3376767337322235
1756075705.9126706,1,0.4764465391635895
1756076099.8090482,2,0.5418536067008972
1756076492.7701333,3,0.5770673155784607
1756076888.3399434,4,0.6002874374389648
1756077288.7602968,5,0.6124984622001648
1756077689.5589397,6,0.6227099299430847
1756078090.7103453,7,0.6292692422866821
1756078491.6333423,8,0.6337884664535522
1756078893.7670436,9,0.6375911831855774
1756079296.0418832,10,0.6415269374847412
1756079697.0623047,11,0.6457502245903015
1756080099.2839453,12,0.6502540111541748
1756080501.0103168,13,0.6542485952377319
1756080903.0330877,14,0.658086895942688
1756081304.4976776,15,0.6624664068222046
1756081706.1286817,16,0.666259765625
1756082108.04878,17,0.6691257357597351
1756082508.675662,18,0.6725015640258789
1756082909.7090793,19,0.6758965849876404
1756083312.2572198,20,0.6794536709785461
1756083714.539164,21,0.6836209893226624
1756084117.1937702,22,0.687213122844696
1756084517.3344846,23,0.6905389428138733
1756084917.2598636,24,0.6937156319618225
1756085317.911023,25,0.6976134181022644
1756085719.2220533,26,0.7002939581871033
1756086121.0480945,27,0.7028971314430237
1756086523.0752852,28,0.7055719494819641
1756086925.3942266,29,0.7077429890632629
1756087326.853471,30,0.7102827429771423
1756087727.9896717,31,0.7120183706283569
1756088129.3708904,32,0.7146407961845398
1756088531.1549218,33,0.7156818509101868
1756088931.9273195,34,0.7180393934249878
1756089332.593319,35,0.7199345827102661
1756089732.7823327,36,0.7214400172233582
1756090133.0512536,37,0.7232456207275391
1756090533.7589865,38,0.7251527309417725
1756090934.289166,39,0.7266701459884644
1756091334.6324565,40,0.7281957268714905
1756091734.9641857,41,0.7292415499687195
1756092134.7379286,42,0.7307631373405457
1756092535.6126978,43,0.7313461899757385
1756092935.5626268,44,0.7328397631645203
1756093335.78349,45,0.7335308194160461
1756093735.964109,46,0.7348436713218689
1756094136.6770287,47,0.7359485626220703
1756094538.5959392,48,0.7367314696311951
1756094940.8098042,49,0.7374041080474854
1756095334.9986625,50,0.7389594316482544
1756095728.6388085,51,0.7412312626838684
1756096122.8383806,52,0.7436949610710144
1756096516.4475155,53,0.7463027834892273
1756096910.8354821,54,0.7477381825447083
1756097305.090882,55,0.7499943375587463
1756097698.913237,56,0.7518121004104614
1756098092.9628816,57,0.7536038756370544
1756098484.5746083,58,0.7550678849220276
1756098878.124927,59,0.7568633556365967
1756099271.3079305,60,0.7580926418304443
1756099666.6425762,61,0.7591913342475891
1756100061.0227833,62,0.7599862813949585
1756100455.258299,63,0.7608720064163208
1756100849.0870981,64,0.7620595097541809
1756101243.4078472,65,0.7628072500228882
1756101637.5637941,66,0.7632803916931152
1756102032.1484423,67,0.7640727758407593
1756102427.1260977,68,0.764369547367096
1756102821.2177918,69,0.7648890018463135
